Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Malawi,MWI,0.737068536,0.733754131,0.740264621,0.772683,0.758223493,0.736161678,0.798956036,0.800434266,0.776118224,0.793361848,0.778791101,0.754933328,0.808779504,0.769089456,0.761113745,0.715705804,0.703990376,0.703990376
Malaysia,MYS,0.410883454,0.409544112,0.406528364,0.405735072,0.404470502,0.403105989,0.40214166,0.401230287,0.398117539,0.395830377,0.393557135,0.391245955,0.388876292,0.386482657,0.382043828,0.377574997,0.376782527,0.376782527
Maldives,MDV,0.402438321,0.384805301,0.368176907,0.361752746,0.339604397,0.318382635,0.309701043,0.305574506,0.296054893,0.29047735,0.287563898,0.269007901,0.259806732,0.257321971,0.254567792,0.252230957,0.256273224,0.256273224
Mali,MLI,0.666314359,0.664433274,0.663140726,0.666161909,0.670075069,0.6687472,0.684268682,0.678068754,0.671707839,0.67384779,0.674634949,0.682392864,0.679980766,0.674208442,0.668807149,0.662660357,0.667708568,0.667708568
Malta,MLT,0.152003186,0.15147153,0.150939875,0.149856349,0.150131523,0.145743607,0.141276444,0.140690092,0.138079353,0.134271157,0.127967031,0.12804209,0.130150861,0.129832911,0.127937725,0.1240588,0.117971808,0.117971808
Marshall Islands,MHL,0.530823931,0.531424038,0.53166872,0.531421619,0.547062106,0.548250005,0.550359804,0.550682373,0.56891725,0.561015229,0.566789605,0.600424345,0.538406327,0.537077626,0.546430134,0.560277997,0.556324111,0.556324111
Mauritania,MRT,0.599453907,0.585831224,0.58237426,0.579323372,0.580851949,0.57788816,0.584901617,0.570704042,0.582516504,0.568521392,0.565102743,0.545336854,0.542983932,0.548452045,0.537872232,0.527052107,0.526661478,0.526661478
Mauritius,MUS,0.246131178,0.244753231,0.244075902,0.241805105,0.239364617,0.235543419,0.23495361,0.234249599,0.231004494,0.2300445,0.229545529,0.229895391,0.229925715,0.231519695,0.231820037,0.232498802,0.234484613,0.234484613
Mexico,MEX,0.282221314,0.280694343,0.281725294,0.284041781,0.276595106,0.271302145,0.270770501,0.263668634,0.25589375,0.230600401,0.231467768,0.232947961,0.234442978,0.235987438,0.237522808,0.236634233,0.235949262,0.235949262
Micronesia: Federated States of,FSM,0.532480441,0.535341572,0.552105744,0.549114528,0.547190719,0.543546009,0.544618875,0.542766175,0.542347953,0.541162453,0.537416912,0.532433862,0.535428918,0.525441596,0.53550834,0.534856554,0.5243736,0.5243736
Moldova: Republic of,MDA,0.309865497,0.309128185,0.308561604,0.308189096,0.31471264,0.336192613,0.360076646,0.326617524,0.323368011,0.320746482,0.322551613,0.321292465,0.318159464,0.317773845,0.321533111,0.32516851,0.312085531,0.312085531
Monaco,MCO,0.045520833,0.045520833,0.045520833,0.045520833,0.045520833,0.045520833,0.045520833,0.045520833,0.045520833,0.045520833,0.045520833,0.045520833,0.045520833,0.045520833,0.045520833,0.045520833,0.045520833,0.045520833
Macedonia ,MKD,0.197510322,0.196931304,0.199898186,0.198417303,0.195940454,0.1983608,0.193975579,0.19419148,0.190658103,0.189975336,0.186750437,0.185090825,0.199758079,0.21512574,0.212220147,0.210022777,0.207753641,0.207753641
Mongolia,MNG,0.381561667,0.373311936,0.372038015,0.380889658,0.392245902,0.40061058,0.396308209,0.372353813,0.350895245,0.350731275,0.351384982,0.344217522,0.33984981,0.341904509,0.339100122,0.33750326,0.338252774,0.338252774
